Pest Name,Most Commonly Used Pesticides
toxoptera citricidus,"imidacloprid, thiamethoxam, chlorpyrifos"
trialeurodes vaporariorum,"neonicotinoids, pyrethroids, imidacloprid"
unaspis yanonensis,"imidacloprid, chlorpyrifos, abamectin"
viteus vitifoliae,"pyrethroids, organophosphates, neonicotinoids"
wheat blossom midge,"chlorpyrifos, imidacloprid, lambda-cyhalothrin"
wheat phloeothrips,"imidacloprid, thiamethoxam, chlorpyrifos"
wheat sawfly,"chlorpyrifos, acetamiprid, imidacloprid"
white backed plant hopper,"imidacloprid, thiamethoxam, chlorpyrifos"
white margined moth,"chlorantraniliprole, spinosad, bacillus thuringiensis"
whitefly,"imidacloprid, thiamethoxam, pyrethroids"
wireworm,"chlorpyrifos, imidacloprid, fipronil"
xylotrechus,"methoxyfenozide, chlorpyrifos, fipronil"
yellow cutworm,"chlorpyrifos, methomyl, carbaryl"
yellow mite,"spiromesifen, abamectin, fenazaquin"
yellow rice borer,"chlorpyrifos, neonicotinoids, fipronil"
